config_from,config_to,hamming_dist
115332,1041281,7
115332,1041282,7
115332,1041283,8
115332,1041284,5
115332,1041286,6
115332,1041287,7
115332,1041920,7
115332,1041923,9
115332,1041926,7
115332,1042052,5
115332,1042053,6
115332,1042178,9
115332,1042182,8
115332,1042304,7
115332,1042306,8
115332,1042307,9
115332,1042308,6
115332,1042309,7
115332,1042310,7
115332,1042311,8
115332,1042944,7
115332,1043072,6
115332,1043078,6
115332,1043328,7
115332,1043330,8
115332,1043334,7
115332,1043335,8
115332,1044226,10
115332,1044230,9
115332,1044352,8
115332,1044354,9
115332,1044355,10
115332,1044356,7
115332,1044358,8
115332,1044359,9
115332,1047174,7
115332,1047430,8
115332,1048486,10
115332,1048494,11
115332,1048495,12
115332,1048511,13
378758,34564,5
378758,34688,5
378758,34692,4
378758,66048,8
378758,67072,7
378758,74240,9
378758,75264,8
378758,98816,7
378758,98818,6
378758,98822,5
378758,98944,6
378758,99074,5
378758,99200,5
378758,99202,4
378758,99206,3
378758,99456,6
378758,99840,6
378758,99842,5
378758,99846,4
378758,99968,5
378758,100096,5
378758,100098,4
378758,100100,4
378758,100102,3
378758,100224,4
378758,100226,3
378758,100230,2
378758,101248,6
378758,102022,4
378758,102272,5
378758,102278,3
378758,104320,5
378758,106368,6
378758,106369,7
378758,106370,5
378758,106374,4
378758,107008,8
378758,107392,6
378758,107394,5
378758,108032,7
378758,108034,6
378758,108160,6
378758,108416,5
378758,108420,4
378758,108422,3
378758,109440,7
378758,110464,6
378758,110468,5
378758,110470,4
378758,110471,5
378758,114560,7
378758,114561,8
378758,114562,6
378758,115200,6
378758,115206,4
378758,115328,5
378758,115458,4
378758,115588,3
378758,115590,2
378758,115606,3
378758,116610,2
378758,116614,1
378758,116630,2
378758,117638,3
378758,118279,5
378758,118662,2
378758,123392,7
378758,123398,5
378758,123526,4
378758,123776,5
378758,123778,4
378758,123782,3
378758,124416,6
378758,124420,5
378758,124422,4
378758,124550,3
378758,124807,3
378758,125440,8
378758,125568,7
378758,125824,6
378758,125826,5
378758,126470,5
378758,126471,6
378758,126722,5
378758,126848,5
378758,126854,3
378758,129536,9
378758,130566,6
378758,130818,6
378758,130946,5
378758,230918,5
378758,231046,4
378758,231296,5
378758,231298,4
378758,231302,3
378758,237440,7
378758,237442,6
378758,237472,8
378758,237474,7
378758,241536,7
378758,241538,6
378758,241543,6
378758,254470,6
378758,254854,4
378758,255494,5
378758,256902,5
378758,263942,4
378758,264070,3
378758,271360,9
378758,282374,4
378758,287744,8
378758,315142,3
378758,315268,3
378758,315270,2
378758,328450,5
378758,328454,4
378758,328580,4
378758,328704,7
378758,328960,6
378758,329216,6
378758,329472,5
378758,329478,3
378758,329602,3
378758,329604,3
378758,329606,2
378758,336896,8
378758,344838,3
378758,344960,4
378758,344964,3
378758,345088,6
378758,345600,5
378758,345988,2
378758,345990,1
378758,347910,3
378758,348038,2
378758,360448,7
378758,360450,6
378758,360452,6
378758,360838,3
378758,360960,6
378758,360962,5
378758,360966,4
378758,361088,5
378758,361218,4
378758,361222,3
378758,361344,4
378758,361346,3
378758,361348,3
378758,361350,2
378758,361351,3
378758,361472,6
378758,361474,5
378758,361476,5
378758,361602,4
378758,361603,5
378758,361728,5
378758,361862,2
378758,361863,3
378758,361879,4
378758,361887,5
378758,361984,5
378758,361986,4
378758,361988,4
378758,361990,3
378758,362116,3
378758,362118,2
378758,362240,4
378758,362242,3
378758,362244,3
378758,362246,2
378758,362248,5
378758,362250,4
378758,362368,3
378758,362370,2
